Sl No. ,LP indices,ln(LP index),log(LP index),Gaps
1,2,0.693147181,0.301029996,2
2,4,1.386294361,0.602059991,1
3,5,1.609437912,0.698970004,2
4,7,1.945910149,0.84509804,1
5,8,2.079441542,0.903089987,3
6,11,2.397895273,1.041392685,2
7,13,2.564949357,1.113943352,3
8,16,2.772588722,1.204119983,1
9,17,2.833213344,1.230448921,2
10,19,2.944438979,1.278753601,12
11,31,3.433987204,1.491361694,6
12,37,3.610917913,1.568201724,4
13,41,3.713572067,1.612783857,6
14,47,3.850147602,1.672097858,6
15,53,3.970291914,1.72427587,8
16,61,4.110873864,1.785329835,10
17,71,4.262679877,1.851258349,8
18,79,4.369447852,1.897627091,34
19,113,4.727387819,2.053078443,200
20,313,5.746203191,2.495544338,40
21,353,5.866468057,2.547774705,150
22,503,6.22059017,2.701567985,110
23,613,6.418364936,2.787460475,4
24,617,6.424869024,2.790285164,246
25,863,6.760414691,2.936010796,234
26,1097,7.00033446,3.040206628,264
27,1361,7.215975003,3.133858125,3426
28,4787,8.473659189,3.680063427,6
29,4793,8.474911799,3.680607429,1058
30,5851,8.674367866,3.767230098,1890
31,7741,8.954286157,3.888797067,726
32,8467,9.043931534,3.92772956,2224
33,10691,9.277157545,4.02901833,1560
34,12251,9.413362845,4.08817154,1712
35,13963,9.544166253,4.144978738,486
36,14449,9.578380487,4.159837791,5020
37,19469,9.876578736,4.289343645,15980
38,35449,10.47585032,4.549603988,1330
39,36779,10.51268231,4.565599917,7728
40,44507,10.70340176,4.648428322,6662
41,51169,10.84288916,4.70900693,4834
42,56003,10.93316054,4.748211292,25668
43,81671,11.31045426,4.912067873,8178
44,89849,11.40588576,4.953513248,4974
45,94823,11.45976727,4.976913691,45234
46,140057,11.84980476,5.14630482,8034
47,148091,11.90558223,5.170528666,11430
48,159521,11.97993085,5.202817863,23568
49,183089,12.11772765,5.262662253,10112
50,193201,12.17148638,5.28600937,9466
51,202667,12.21931952,5.306783039,141626
52,344293,12.74924832,5.536928193,43140
53,387433,12.86729821,5.588196609,56176
54,443609,13.00269882,5.647000349,88668
55,532277,13.18491931,5.7261377,41942
56,574219,13.26076614,5.759077559,42568
57,616787,13.33227902,5.790135212,14394
58,631181,13.35534795,5.800153917,6570
59,637751,13.3657032,5.804651148,14070
60,651821,13.38752526,5.814128348,40326
61,692147,13.44755364,5.840198341,209510
62,901657,13.71198946,5.955041359,150192
63,1051849,13.86606013,6.021953398,
