"Sl No. ","LP indices","ln(LP index)","log(LP index)","Gaps"
"1","2","0.69314718055995","0.30102999566398","2"
"2","4","1.3862943611199","0.60205999132796","1"
"3","5","1.6094379124341","0.69897000433602","2"
"4","7","1.9459101490553","0.84509804001426","1"
"5","8","2.0794415416798","0.90308998699194","3"
"6","11","2.3978952727984","1.0413926851582","2"
"7","13","2.5649493574615","1.1139433523068","3"
"8","16","2.7725887222398","1.2041199826559","1"
"9","17","2.8332133440562","1.2304489213783","2"
"10","19","2.9444389791664","1.2787536009528","12"
"11","31","3.4339872044851","1.4913616938343","6"
"12","37","3.6109179126442","1.568201724067","4"
"13","41","3.7135720667043","1.6127838567197","6"
"14","47","3.8501476017101","1.6720978579357","6"
"15","53","3.9702919135521","1.7242758696008","8"
"16","61","4.1108738641733","1.7853298350108","10"
"17","71","4.2626798770413","1.8512583487191","8"
"18","79","4.369447852467","1.8976270912904","34"
"19","113","4.7273878187123","2.0530784434834","200"
"20","313","5.7462031905402","2.4955443375464","40"
"21","353","5.8664680569333","2.5477747053878","150"
"22","503","6.2205901700997","2.7015679850559","110"
"23","613","6.4183649359362","2.7874604745184","4"
"24","617","6.4248690239054","2.7902851640332","246"
"25","863","6.7604146910834","2.9360107957152","234"
"26","1097","7.0003344602752","3.0402066275747","264"
"27","1361","7.2159750026515","3.1338581252033","3426"
"28","4787","8.4736591893925","3.6800634274819","6"
"29","4793","8.4749117991596","3.6806074289918","1058"
"30","5851","8.6743678657882","3.7672300981107","1890"
"31","7741","8.9542861572047","3.8887970674567","726"
"32","8467","9.0439315336423","3.9277295597717","2224"
"33","10691","9.2771575450135","4.0290183295465","1560"
"34","12251","9.4133628452942","4.0881715398644","1712"
"35","13963","9.5441662529422","4.14497873802","486"
"36","14449","9.5783804869936","4.1598377910711","5020"
"37","19469","9.8765787359789","4.2893436451186","15980"
"38","35449","10.475850322818","4.5496039884441","1330"
"39","36779","10.512682309099","4.5655999168437","7728"
"40","44507","10.703401759154","4.6484283215942","6662"
"41","51169","10.842889158907","4.7090069296021","4834"
"42","56003","10.933160539711","4.7482112921588","25668"
"43","81671","11.310454260676","4.9120678732305","8178"
"44","89849","11.405885762489","4.9535132478679","4974"
"45","94823","11.45976727485","4.976913691363","45234"
"46","140057","11.849804761588","5.1463048195887","8034"
"47","148091","11.905582228659","5.1705286657521","11430"
"48","159521","11.979930853982","5.2028178634671","23568"
"49","183089","12.117727652397","5.2626622526425","10112"
"50","193201","12.171486376731","5.2860093699747","9466"
"51","202667","12.219319517016","5.3067830388526","141626"
"52","344293","12.749248318013","5.5369281929275","43140"
"53","387433","12.8672982096","5.588196609433","56176"
"54","443609","13.002698822801","5.6470003485923","88668"
"55","532277","13.18491930951","5.72613770046","41942"
"56","574219","13.260766135638","5.7590775585169","42568"
"57","616787","13.332279024485","5.7901352115284","14394"
"58","631181","13.355347946667","5.8001539171352","6570"
"59","637751","13.365703204015","5.8046511482605","14070"
"60","651821","13.387525263339","5.8141283482083","40326"
"61","692147","13.447553639786","5.840198340857","209510"
"62","901657","13.71198946065","5.9550413586758","150192"
"63","1051849","13.866060125856","6.0219533983979",""
